role_applied,resume_count
information_technology,120
business_development,119
advocate,118
chef,118
engineering,118
accountant,118
fitness,117
finance,117
sales,116
aviation,116
healthcare,115
consultant,115
banking,115
construction,112
public_relations,111
hr,110
designer,107
arts,103
teacher,102
apparel,97
digital_media,96
agriculture,63
automobile,36
bpo,22
