salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
1270,3884925602,1500000.0,,350000.0,YEARLY,USD,BASE_SALARY
1292,3885810570,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
1307,3884440280,40160.0,,35360.0,YEARLY,USD,BASE_SALARY
1311,3887838659,,38.0,,HOURLY,USD,BASE_SALARY
1316,3885808776,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
1320,3885812123,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
1327,3885807664,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
1335,3887841114,,48.0,,HOURLY,USD,BASE_SALARY
1337,3885810554,124000.0,,75000.0,YEARLY,USD,BASE_SALARY
1361,3887838655,,57.0,,HOURLY,USD,BASE_SALARY
1363,3884807736,13356.0,,8967.0,MONTHLY,USD,BASE_SALARY
1365,3884992270,223600.0,,115000.0,YEARLY,USD,BASE_SALARY
1369,3884436284,60.0,,40.0,HOURLY,USD,BASE_SALARY
1382,3884991604,223600.0,,115000.0,YEARLY,USD,BASE_SALARY
1384,3887832873,32.41,,32.41,HOURLY,USD,BASE_SALARY
1391,3887840197,,47.75,,HOURLY,USD,BASE_SALARY
1395,3887842029,,47.75,,HOURLY,USD,BASE_SALARY
1413,3884810268,107567.23,,51400.0,YEARLY,USD,BASE_SALARY
1418,3887840146,,38.0,,HOURLY,USD,BASE_SALARY
1419,3887477817,100000.0,,70000.0,YEARLY,USD,BASE_SALARY
1448,3887837958,,66.0,,HOURLY,USD,BASE_SALARY
1454,3884931731,1500000.0,,350000.0,YEARLY,USD,BASE_SALARY
1475,3884805592,55.0,,50.0,HOURLY,USD,BASE_SALARY
1491,3884812706,115000.0,,65000.0,YEARLY,USD,BASE_SALARY
1495,3885814214,23.0,,20.0,HOURLY,USD,BASE_SALARY
1508,3887839184,,2000.0,,MONTHLY,USD,BASE_SALARY
1516,3884440276,110000.0,,100000.0,YEARLY,USD,BASE_SALARY
1517,3885815080,24.0,,21.0,HOURLY,USD,BASE_SALARY
1520,3885811850,23.0,,20.0,HOURLY,USD,BASE_SALARY
